source,evmTokenAddress,evmReceiverAddress,formattedAmount,amount,sudtArgs,burnTxHash,transferTxHash
Ethereum,0x0000000000000000000000000000000000000000,0x234e2f5720ded49ea4ccd25eb7e18e659fc7c5ff,0.029211 ETH|eth,29211000000000000,0x9cfc1339d0b730258d517db6fbf29d091e0aec807eb8b79d99ecbb86bfac3574,0x5bcd16a09ebe481d8d399bb53b0cae77a8d4721a85ab356ed72fcdd0b7f19f86,0x21d510eaf12b16d17d185ab6ed42c650df572b572a506e39a394e9845caf685e
Ethereum,0x0000000000000000000000000000000000000000,0x234e2f5720ded49ea4ccd25eb7e18e659fc7c5ff,0.031711 ETH|eth,31711000000000000,0x9cfc1339d0b730258d517db6fbf29d091e0aec807eb8b79d99ecbb86bfac3574,0xc4ebf98e415074b79bcf7b6dfe98116d629aff51f3b4a90728660cdfadb477d2,0x21d510eaf12b16d17d185ab6ed42c650df572b572a506e39a394e9845caf685e
BSC,0x337610d27c682E347C9cD60BD4b3b107C9d34dDd,0x063094ae5d4cbe7b785b33e980486f72f2d2a474,120000000.0 Test|bsc,12000000000000000,0x5dd2d06132247e6ec70d3094825a7b2b30e3b69d10bdbfbbb3ae571d88b8ab98,0x70fffc324f69970b4aaaa30de47b89e1928cdd55b1117cfadcce3a7fd2d9552c,
Ethereum,0x0000000000000000000000000000000000000000,0x063094ae5d4cbe7b785b33e980486f72f2d2a474,0.0056 Test_2|eth,5600000000000000,0x5388412a30e8bc24fe3ea6f826fcccd8132c9ae0bd35e71c24ca2ae51d5de142,0x70fffc324f69970b4aaaa30de47b89e1928cdd55b1117cfadcce3a7fd2d9552c,
BSC,0x337610d27c682E347C9cD60BD4b3b107C9d34dDd,0x3fb9f3fb13c9b1658c243b795c7fcb8b7dd686d2,52111000.0 Test|bsc,5211100000000000,0x5dd2d06132247e6ec70d3094825a7b2b30e3b69d10bdbfbbb3ae571d88b8ab98,0xf360e8442d486d018a7d1d4d1616cdae78aada6bcf789304576229f5f2d5b57c,
BSC,0x337610d27c682E347C9cD60BD4b3b107C9d34dDd,0x3fb9f3fb13c9b1658c243b795c7fcb8b7dd686d2,52111000.0 Test|bsc,5211100000000000,0x5dd2d06132247e6ec70d3094825a7b2b30e3b69d10bdbfbbb3ae571d88b8ab98,0xf360e8442d486d018a7d1d4d1616cdae78aada6bcf789304576229f5f2d5b57c,
BSC,0x337610d27c682E347C9cD60BD4b3b107C9d34dDd,0x3fb9f3fb13c9b1658c243b795c7fcb8b7dd686d2,52111000.0 Test|bsc,5211100000000000,0x5dd2d06132247e6ec70d3094825a7b2b30e3b69d10bdbfbbb3ae571d88b8ab98,0xf360e8442d486d018a7d1d4d1616cdae78aada6bcf789304576229f5f2d5b57c,
BSC,0x337610d27c682E347C9cD60BD4b3b107C9d34dDd,0x3fb9f3fb13c9b1658c243b795c7fcb8b7dd686d2,52111000.0 Test|bsc,5211100000000000,0x5dd2d06132247e6ec70d3094825a7b2b30e3b69d10bdbfbbb3ae571d88b8ab98,0xf360e8442d486d018a7d1d4d1616cdae78aada6bcf789304576229f5f2d5b57c,
BSC,0x337610d27c682E347C9cD60BD4b3b107C9d34dDd,0x3fb9f3fb13c9b1658c243b795c7fcb8b7dd686d2,52111000.0 Test|bsc,5211100000000000,0x5dd2d06132247e6ec70d3094825a7b2b30e3b69d10bdbfbbb3ae571d88b8ab98,0xf360e8442d486d018a7d1d4d1616cdae78aada6bcf789304576229f5f2d5b57c,
BSC,0x337610d27c682E347C9cD60BD4b3b107C9d34dDd,0x3fb9f3fb13c9b1658c243b795c7fcb8b7dd686d2,52111000.0 Test|bsc,5211100000000000,0x5dd2d06132247e6ec70d3094825a7b2b30e3b69d10bdbfbbb3ae571d88b8ab98,0xf360e8442d486d018a7d1d4d1616cdae78aada6bcf789304576229f5f2d5b57c,
BSC,0x337610d27c682E347C9cD60BD4b3b107C9d34dDd,0x3fb9f3fb13c9b1658c243b795c7fcb8b7dd686d2,52111000.0 Test|bsc,5211100000000000,0x5dd2d06132247e6ec70d3094825a7b2b30e3b69d10bdbfbbb3ae571d88b8ab98,0xf360e8442d486d018a7d1d4d1616cdae78aada6bcf789304576229f5f2d5b57c,
BSC,0x337610d27c682E347C9cD60BD4b3b107C9d34dDd,0x3fb9f3fb13c9b1658c243b795c7fcb8b7dd686d2,52111000.0 Test|bsc,5211100000000000,0x5dd2d06132247e6ec70d3094825a7b2b30e3b69d10bdbfbbb3ae571d88b8ab98,0xf360e8442d486d018a7d1d4d1616cdae78aada6bcf789304576229f5f2d5b57c,
BSC,0x337610d27c682E347C9cD60BD4b3b107C9d34dDd,0x3fb9f3fb13c9b1658c243b795c7fcb8b7dd686d2,52111000.0 Test|bsc,5211100000000000,0x5dd2d06132247e6ec70d3094825a7b2b30e3b69d10bdbfbbb3ae571d88b8ab98,0xf360e8442d486d018a7d1d4d1616cdae78aada6bcf789304576229f5f2d5b57c,
BSC,0x337610d27c682E347C9cD60BD4b3b107C9d34dDd,0x3fb9f3fb13c9b1658c243b795c7fcb8b7dd686d2,52111000.0 Test|bsc,5211100000000000,0x5dd2d06132247e6ec70d3094825a7b2b30e3b69d10bdbfbbb3ae571d88b8ab98,0xf360e8442d486d018a7d1d4d1616cdae78aada6bcf789304576229f5f2d5b57c,
