evmTokenAddress,evmReceiverAddress,source,amount,formattedAmount,sudtArgs,transferTxHash
0x337610d27c682E347C9cD60BD4b3b107C9d34dDd,0x9e18f89a2c541c259b40464fe9f1c87607227972,BSC,5210000000000000,52100000.0 Test|bsc,0x5dd2d06132247e6ec70d3094825a7b2b30e3b69d10bdbfbbb3ae571d88b8ab98,
0x337610d27c682E347C9cD60BD4b3b107C9d34dDd,0xcc0af0af911dd40853b8c8dfee90b32f8d1ecad6,BSC,120000000000,1200.0 Test|bsc,0x5dd2d06132247e6ec70d3094825a7b2b30e3b69d10bdbfbbb3ae571d88b8ab98,
0x0000000000000000000000000000000000000000,0x9e18f89a2c541c259b40464fe9f1c87607227972,Ethereum,5855550000000000000,5.85555 Test_2|eth,0x5388412a30e8bc24fe3ea6f826fcccd8132c9ae0bd35e71c24ca2ae51d5de142,
0x0000000000000000000000000000000000000000,0xcc0af0af911dd40853b8c8dfee90b32f8d1ecad6,Ethereum,27301010012000611000,27.301010012000611 Test_2|eth,0x5388412a30e8bc24fe3ea6f826fcccd8132c9ae0bd35e71c24ca2ae51d5de142,
