source,evmTokenAddress,evmReceiverAddress,formattedAmount,amount,sudtArgs,burnTxHash,transferTxHash
Ethereum,0x0000000000000000000000000000000000000000,0x9e18f89a2c541c259b40464fe9f1c87607227972,5.85555 Test_2|eth,5855550000000000000,0x5388412a30e8bc24fe3ea6f826fcccd8132c9ae0bd35e71c24ca2ae51d5de142,0xec614410aa95e64966fe28c7f797ce9cd1222b8336c08eec1b49c6b7c72ea34b,
BSC,0x337610d27c682E347C9cD60BD4b3b107C9d34dDd,0x9e18f89a2c541c259b40464fe9f1c87607227972,52100000.0 Test|bsc,5210000000000000,0x5dd2d06132247e6ec70d3094825a7b2b30e3b69d10bdbfbbb3ae571d88b8ab98,0xec614410aa95e64966fe28c7f797ce9cd1222b8336c08eec1b49c6b7c72ea34b,
Ethereum,0x0000000000000000000000000000000000000000,0xcc0af0af911dd40853b8c8dfee90b32f8d1ecad6,0.201 Test_2|eth,201000000000000000,0x5388412a30e8bc24fe3ea6f826fcccd8132c9ae0bd35e71c24ca2ae51d5de142,0x06c5538637777504ade3f25bbb356dafdd9a291ebf7321139abb80377fb17985,
Ethereum,0x0000000000000000000000000000000000000000,0xcc0af0af911dd40853b8c8dfee90b32f8d1ecad6,2.1 Test_2|eth,2100000000000000000,0x5388412a30e8bc24fe3ea6f826fcccd8132c9ae0bd35e71c24ca2ae51d5de142,0x06c5538637777504ade3f25bbb356dafdd9a291ebf7321139abb80377fb17985,
BSC,0x337610d27c682E347C9cD60BD4b3b107C9d34dDd,0xcc0af0af911dd40853b8c8dfee90b32f8d1ecad6,1200.0 Test|bsc,120000000000,0x5dd2d06132247e6ec70d3094825a7b2b30e3b69d10bdbfbbb3ae571d88b8ab98,0x06c5538637777504ade3f25bbb356dafdd9a291ebf7321139abb80377fb17985,
Ethereum,0x0000000000000000000000000000000000000000,0xcc0af0af911dd40853b8c8dfee90b32f8d1ecad6,0.0000000120005 Test_2|eth,12000500000,0x5388412a30e8bc24fe3ea6f826fcccd8132c9ae0bd35e71c24ca2ae51d5de142,0x296649e7e5a0afe2e3566e3282084d75020104de12df644464d685548bba9031,
Ethereum,0x0000000000000000000000000000000000000000,0xcc0af0af911dd40853b8c8dfee90b32f8d1ecad6,25.000010000000111 Test_2|eth,25000010000000111000,0x5388412a30e8bc24fe3ea6f826fcccd8132c9ae0bd35e71c24ca2ae51d5de142,0x296649e7e5a0afe2e3566e3282084d75020104de12df644464d685548bba9031,
