erc20Token,evmReceiverAddress,network,amount,formattedAmount,txHash
0x0000000000000000000000000000000000000000,0x01234e2f5720ded49ea4ccd25eb7e18e659fc7c5,Ethereum,15700000000000000,"0.0157 Test_2|eth",0x93099bf7baccd64dcd7b190af5d2cf5ddbfc31eb71c18306d7b540b2bc7daaeb
0x0000000000000000000000000000000000000000,0x01234e2f5720ded49ea4ccd25eb7e18e659fc7c5,Ethereum,15600000000000,"0.0000156 Test_2|eth",0x62579cf789f7cd31d921e557074f267108e53c316794b9da596b1b1fc7f95eb3
0x0000000000000000000000000000000000000000,0x01234e2f5720ded49ea4ccd25eb7e18e659fc7c5,Ethereum,1980000000000000,"0.00198 Test_2|eth",0x40885bccbf5b27a780647a11f93629b3784625d7627d19abded3f81c81806818
0x0000000000000000000000000000000000000000,0x01234e2f5720ded49ea4ccd25eb7e18e659fc7c5,Ethereum,523000000000000,"0.000523 Test_2|eth",0x1d2b7ab5ad1146419359e6e09ce79491c752c45aa330277f363a05cf898a3db1
0x0000000000000000000000000000000000000000,0x01f8b1a30fdb0c1d34809f906774caff2e4086a0,Ethereum,256000000000000,"0.000256 Test_2|eth",0x45c84a590284794d0d90ecaa316c21c3cdbd47636ae9f4e24911eabf69516964
0x0000000000000000000000000000000000000000,0x01f8b1a30fdb0c1d34809f906774caff2e4086a0,Ethereum,157000000000,"0.000000157 Test_2|eth",0xfda39c06108e09dcbfb4bbf5e275406c8058c2d5ebd2a007af80cafa748a4326
0x0000000000000000000000000000000000000000,0x01f8b1a30fdb0c1d34809f906774caff2e4086a0,Ethereum,125690000000,"0.00000012569 Test_2|eth",0xe57ad1e616e6a0dfc372387bcd3377749cc87bb415f819837ffa34eb175e630c
0x0000000000000000000000000000000000000000,0x01f8b1a30fdb0c1d34809f906774caff2e4086a0,Ethereum,1222000000000000,"0.001222 Test_2|eth",0x7b9e52a0c371e0667ffa6300b12e993621cb7e0ceea64f82fd745cf4fc527c54
